source_,title,address,price,price_per_square_meter,area,rooms,market,buildyng_type,_1st_floor,floors,building_materials,windows,heating,year_of_build,trim_condition,rent,property_type,description,first_desc_title,first_desc,second_desc_title,second_desc,third_desc_title,third_desc,fourth_desc_title,fourth_desc,phone_number
https://www.otodom.pl/pl/oferta/taras-15m-swietna-lokalizacja-miejsce-w-garazu-ID49zDr,"Taras 15m, świetna lokalizacja, miejsce w garażu!","Warszawa, Wilanów",2 900 zł,N/A,61 m²,2,N/A,N/A,2,3,N/A,N/A,N/A,N/A,N/A,600 zł,N/A,"OPIS NIERUCHOMOŚCI:
Prezentujemy 2 pokojowe mieszkanie, w którym postawiono na jakość a jasne i przytulne przestrzenie wywołują pozytywne emocje i sprzyjają atmosferze relaksu. Użyte we wnętrzu materiały ujmują delikatnoscią, z którą stylowo kontrastuje nieco surowa forma. Na 61 m2 składa się przestronny salon z otwartą kuchnią oraz wyspą, sypialnia oraz łazienka z prysznicem, pomieszczenie gospodarcze z wbudowanymi szafkami oraz garderoba. W mieszkaniu dominuje styl minimalistyczny, tworzący tym samym wnętrze pełne harmonii, ładu i porządku.
W salonie oraz sypialni umieszczone są nowoczesne meble- natomiast jeśli przyszły najemca posiadałby swoje wyposażenie, jest możliwość ich zabrania.",Informacje Dodatkowe,"balkon
garaż/miejsce parkingowe
winda",N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/nowy-budynek-grzybowska-ID49zBE,Nowy Budynek Grzybowska,"Warszawa, Centrum",8 000 zł,N/A,91 m²,3,N/A,N/A,4,16,N/A,drewniane,miejskie,2011,N/A,N/A,N/A,"|

Mieszkanie zlokalizowane w spokojnej okolicy w centrum Warszawy.
Ok. 300 metrów do Parku; 400 metrów od Metra ; 200 metrów od centrum handlowego . W pobliżu znajdują się liczne restauracje i bary.
Budynek w wysokim standardzie.
Salon jest połączony z aneksem kuchennym, 2 sypialnie, łazienka z wanną oraz łazienka z prysznicem, garderoba. Okna wychodzą na wewnętrzny dziedziniec. Mieszkanie jest wykończone w wysokim standardzie.",Media,"telewizja kablowa
internet",Informacje Dodatkowe,"balkon
garaż/miejsce parkingowe
winda
taras",N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/mieszkanie-w-scislym-centrum-ID49zys,Mieszkanie w ścisłym centrum,"Warszawa, Śródmieście, Twarda",2 600 zł,N/A,50 m²,2,N/A,N/A,3,5,N/A,N/A,N/A,1967,do zamieszkania,N/A,N/A,"Zapraszam do zapoznania się z ofertą mieszkania w centrum 

Dwa samodzielne pokoje, widna oddzielna kuchnia, łazienka z wc 
Mieszkanie po generalnym remoncie w 2016 roku 

sypialnia: komoda z 6 szufladami, duża, pojemna szafa, wygodna kanapa, 
Salon: kanapa rozkładana, komoda w stylu rustykalnym - antyk, pasujący do niej stoliczek kawowy, dwa krzesła. ( Możliwość dostawienia stołu do kompletu ) 
czynsz 2600 zl plus opłaty ( woda, prąd gaz, śmieci, ogrzewanie - około 300zł miesięcznie- w zależności od indywidualnego zużycia)

Twarda 62a - budynek z 1967 roku 
miedzy Dw. Centralnym a placem Zawiszy - idealny punkt komunikacyjny, wszystko w zasięgu ręki 
w budynku winda, teren ogrodzony, w okolicy miejsce do zaparkowania( na zasadzie kto pierwszy ten lepszy )


kaucja: jednomiesięczny czynsz najmu 

Zapraszamy do kontaktu ",Informacje Dodatkowe,balkon,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/wyjatkowy-penthouse-na-powislu-4-pok-taras-ID49zv0,"Wyjątkowy penthouse na Powiślu / 4 pok, Taras","Warszawa, Śródmieście, Powiśle",13 000 zł,N/A,100 m²,4,N/A,apartamentowiec,5,5,N/A,N/A,N/A,2014,do zamieszkania,N/A,N/A,"Agencja nieruchomości UNIQUE ESTATE ma przyjemność zaprezentować wyjątkowy penthouse z dużym tarasem na Powiślu
UKŁAD POMIESZCZEŃ:
Ten wyjątkowy 4-pokojowy apartament o łącznej powierzchni 100 m2 usytuowany jest na ostatnim (5-tym) piętrze. W skład pomieszczeń wchodzą: przestronny salon, kuchnia z wyspą otwarta na salon, korytarz z szafami w zabudowie (w jednej schowana pralnia), sypialni master z prywatną łazienką z prysznicem, gabinetu/pokoju gościnnego (2x funkcja spania ukryta w ścianie), sypialni dziecięcej/ pokoju do dowolnej aranżacji, drugiej łazienki z wanną. Do apartamentu przylega duży taras (26 m2) na który wyjść można z części dziennej oraz sypialni master.
STANDARD:
Apartament został wykończony w stylu loftowym przy użyciu najwyższej jakości materiałów. Na podłodze położono naturalne drewno dębowe, blat kuchenny wykonano z kamienia. Na wyposażeniu są sprzęty wiodących producentów (lodówka i zmywarka Samsung, zmywarka Siemens, TV Panasonic, klimatyzacja Daikin, suszarka Beko). Dzięki panoramicznym oknom oraz ponadstandardowej wysokości pomieszczeń (3m) mieszkanie jest bardzo słoneczne. Każde pomieszczenie jest klimatyzowane. Zainstalowano również system nagłośnienia. Dla wygody przyszłych najemców na tarasie zainstalowano elektryczne rolety a donice wyposażono w system nawadniający.",Zabezpieczenia,monitoring / ochrona,Media,"telewizja kablowa
internet
telefon",Informacje Dodatkowe,"balkon
garaż/miejsce parkingowe
winda
pom. użytkowe",N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/urokliwe-2-pok-mieszkanie-przy-pl-trzech-krzyzy-ID3MNvs,Urokliwe 2-pok. mieszkanie przy pl. Trzech Krzyży,"Warszawa, Śródmieście, ul. Wiejska",3 200 zł,N/A,58 m²,2,N/A,blok,> 10,13,cegła,plastikowe,miejskie,N/A,do zamieszkania,N/A,N/A,"Polecam do wynajęcia przestronne, 2-pokojowe mieszkanie zlokalizowane przy ul. Wiejskiej, w malowniczej części Warszawy.

Lokal o łącznej powierzchni 58m2, usytuowany jest na 12/13 piętrze w bloku, w jednej z najbezpieczniejszych części miasta.

W okolicy ambasady, liczne kawiarnie, restauracje, tereny zielone m.in. Łazienki Królewskie. Mieszkanie funkcjonalnie łączy w sobie salon, sypialnię, kuchnię z jadalnią, dużą łazienkę z wc oraz holl. Z obu pokoi wyjście na dwa niezależne balkony.

Całość kompletnie umeblowana i wyposażona m.in. TV LCD, klimatyzacja, zmywarka, pralka.

Lokal jest bardzo dobrze doświetlony dzięki dwustronnej ekspozycji okiennej oraz może poszczycić się PIĘKNYM widokiem na panoramę miasta.





Opiekun Oferty: Szymon Kijak

Ogłoszenie nie stanowi oferty w rozumieniu art. 66 KC",Wyposażenie,"zmywarka
lodówka
meble
piekarnik
kuchenka
telewizor
pralka",Zabezpieczenia,"teren zamknięty
domofon / wideofon
monitoring / ochrona",Informacje Dodatkowe,"klimatyzacja
balkon
winda
oddzielna kuchnia",N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/nowoczesne-studio-kolejowa-19-dzielnica-ID49zuc,"Nowoczesne studio - Kolejowa, 19. dzielnica","Warszawa, Śródmieście, Kolejowa",2 600 zł,N/A,"34,72 m²",1,N/A,apartamentowiec,6,7,N/A,N/A,N/A,2018,N/A,N/A,N/A,"NOWOCZEŚNIE URZĄDZONE STUDIO NA OSIEDLU 19-DZIELNICA (KOLEJOWA)
BUDYNEK:
19 Dzielnica jest to nowoczesne osiedle na Woli przy ul. Kolejowej, w którego skład wchodzi 10 eleganckich budynków. Inwestycja została zaprojektowana z dbałością o najmniejsze detale przez prestiżową pracownię Jems Architekci. Nieprzeciętna architektura sprawia, że kompleks mieszkaniowy stał się jednym z najbardziej rozpoznawalnych w Warszawie.
Mieszkańcy mogą korzystać z własnej infrastruktury: ulic, skwerów z fontannami, zadbanych terenów zielonych czy też placów zabaw dla dzieci. Na terenie osiedla znajdują się również liczne lokale usługowe - sklepy, restauracje i kawiarnie. Bezpieczeństwa mieszkańców strzeże całodobowa ochrona, jest też monitoring.",Informacje Dodatkowe,"balkon
garaż/miejsce parkingowe
winda",N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/dwupokojowe-ciche-mieszkanie-na-woli-ID49zub,"Dwupokojowe, ciche mieszkanie na Woli","Warszawa, Wola, Płocka",2 800 zł,N/A,45 m²,2,N/A,blok,1,3,N/A,N/A,N/A,1961,N/A,N/A,N/A,"WYJĄTKOWE, 2-POKOJOWE MIESZKANIE W BUDYNKU Z 1961 ROKU
BUDYNEK:
Budynek z cegły bez windy z 1961 roku położony jest w cichej części warszawskiej Woli przy ul. Płockiej 21. W 2017 roku został przeprowadzony remont elewacji, klatek schodowych, ogrzewania oraz kanalizacji. W okolicznych budynkach znajduje się wiele punktów usługowych jak małe, osiedlowe sklepy spożywcze, liczne restauracje i kawiarnie oraz poczta czy bank.
ROZKŁAD POMIESZCZEŃ:",Informacje Dodatkowe,oddzielna kuchnia,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-na-sadybie-zamkniete-osiedle-ID49zu5,"Przytulne mieszkanie na Sadybie, zamknięte osiedle","Warszawa, Mokotów, Sadyba, Bolesława Limanowskiego",3 500 zł,N/A,"72,42 m²",3,N/A,apartamentowiec,1,5,N/A,N/A,N/A,2000,N/A,N/A,N/A,"PRZYTULNE MIESZKANIE NA SADYBIE NA ZAMKNIĘTYM OSIEDLU Z PIĘKNYM, ZADBANYM PATIO
BUDYNEK:
Osiedle przy ul. Limanowskiego na warszawskiej Sadybie składa się z kilku 5-piętrowych budynków. Na terenie inwestycji znajdują się również bardzo zadbane części wspólne z placem zabaw dla dzieci i licznymi ławkami. Nad bezpieczeństwem mieszkańców przy wjeździe do inwestycji czuwa całodobowa ochrona.
ROZKŁAD POMIESZCZEŃ:",Informacje Dodatkowe,"balkon
piwnica
garaż/miejsce parkingowe
winda
oddzielna kuchnia",N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-w-kamienicy-gornoslaska-16-ID49zu3,Wyjątkowy apartament w kamienicy - Górnośląska 16,"Warszawa, Śródmieście, Powiśle, Górnośląska",3 900 zł,N/A,"57,69 m²",2,N/A,kamienica,4,5,N/A,N/A,N/A,1928,N/A,N/A,N/A,"WYJĄTKOWY APARTAMENT NA POWIŚLU W HISTORYCZNEJ KAMIENICY
BUDYNEK:
Kamienica przy ul. Górnośląskiej 16 powstała w latach 1922–1928 (budowana była etapami) wg proj. znanego arch. warszawskiego Antoniego Jawornickiego. Na fasadzie kamienicy widnieje tablica poświęcona jej mieszkańcowi, Wacławowi Sieroszewskiemu, powieściopisarzowi opisującemu życie na Dalekim Wschodzie. Druga tablica umieszczona jest na drzwiami wejściowymi i upamiętnia laureata Nagrody Nobla, Władysławowa Reymonta, który tu spędził ostatnie dwa miesiące życia.
ROZMIESZCZENIE POMIESZCZEŃ:",Informacje Dodatkowe,"balkon
piwnica
garaż/miejsce parkingowe
winda",N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/metro-wilanowska-pejzazowa-bez-prowizji-ID49zu0,"Metro Wilanowska, Pejzażowa! Bez Prowizji !!","Warszawa, Mokotów, Bukowińska",2 690 zł,N/A,50 m²,2,N/A,apartamentowiec,8,15,N/A,N/A,N/A,2005,N/A,N/A,N/A,"2 POKOJOWE MIESZKANIE W INWESTYCJI MOKOTÓW PLAZA - UL. PEJZAŻOWA 2, KILKA KROKÓW OD STACJI METRA WILANOWSKA
BUDYNEK:
Budynek z basenem zlokalizowany przy ul. Pejzażowej 2 - inwestycja Mokotów Plaza, wzniesiona w 2005 roku przez dewelopera J.W. Construction.
ROZKŁAD POMIESZCZEŃ:
Mieszkanie o powierzchni 50m2 znajduje się na 8 piętrze i składa się z salonu połączonego z kuchnią, sypialni oraz łazienki z wanną i małej garderoby przy wejściu. W sypialni wbudowane szafy. Z salonu wyjście na taras.",Informacje Dodatkowe,"garaż/miejsce parkingowe
winda
oddzielna kuchnia
taras",N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-budynku-przy-siennej-83-ID49ztZ,Dwupokojowe mieszkanie w budynku przy Siennej 83,"Warszawa, Śródmieście, Sienna",3 200 zł,N/A,"37,37 m²",2,N/A,apartamentowiec,4,8,N/A,N/A,N/A,2012,N/A,N/A,N/A,"DWUPOKOJOWE MIESZKANIE W PRESTIŻOWYM BUDYNKU W CENTRUM WARSZAWY PRZY UL. SIENNEJ 83
BUDYNEK:
Villa Karolina to kameralny apartamentowiec o podwyższonym standardzie wykończenia. Inwestycja została stworzona dla ludzi na co dzień związanych zawodowo z biznesowym centrum stolicy. Budynek z 2012 roku charakteryzuje się wyjątkowo elegancką architekturą. Elewacja jest wykonana ze szkła i piaskowca, a klatki schodowe z materiałów takich jak szkło, marmur i stal.
Jedynie dla mieszkańców w budynku na poziomie -1 dostępny jest basen oraz sala fitness. Przy wejściu do budynku znajduje się reprezentacyjna recepcja oraz całodobowa ochrona.",Informacje Dodatkowe,"balkon
garaż/miejsce parkingowe
winda",N/A,N/A,N/A,N/A,N/A,N/A,N/A
